document,chunk,text,question
the-ai-elections:-how-technology-could-shape-public-sentiment,0,"In the age of Deepfakes and Large Language Models (LLMs), the threat of misusing AI for shaping and manipulating public sentiment has reached unprecedented levels. In this talk, we shed light on the capabilities of Artificial Intelligence (AI), and its potential implications for our societies.As pivotal elections in both the UK and USA loom in 2024, it is important to understand the evolving landscape of political influence, particularly in the digital realm. Remembering the impact of Cambridge Analytica’s manipulation during the Brexit era serves as a reminder of how information can be distorted to sway public opinion. In this keynote, we show the capabilities of modern AI and how they can be misused for shaping public opinion, using examples like Realtime Deepfakes and LLM-powered chatbots. Through a series of live demonstrations and showcases, we unveil the inner workings and technical foundation of these neural networks, highlight their capabilities and their weaknesses, and give an outlook on how we as a society can resist manipulation.In a",How can modern AI tools like Deepfakes and chatbots be misused to influence public opinion during elections?
nljug-modern-it-leadership-summit-2024,1," the intricacies of measuring productivity of software engineering teams. Our panelists will explore the challenges of traditional metrics, the role of modern software engineering intelligence tools, output-based contracting and the cultural impact of measurement practices on teams.With this event, panelists can offer the J-Fall audience insights into the challenges they face and establish closer connections with the Dutch Java community.MILS primarily targets IT management, IT leaders, CTOs, and CIOs. However, all J-Fall attendees are welcome to join this session.",What are the potential challenges associated with traditional methods used to assess productivity in software engineering teams?
help!-i-hate-my-teammate!,0,"Everybody now and then comes into a new team, or someone else comes into theirs. More often than not, cooperation does not go seamlessly straight away. Sometimes this evens out by itself along the way. But in many occasions, it does not. Ways of working could be different. Something one values a lot, may not be valued at all by another, creating conflict. One may criticise or get criticised and things get uncomfortable. Teams may split into ""camps"" or one person just never agrees with the others. Team members may feel stepped over, pushed aside or misunderstood. If this goes on for too long, team members start to feel generally disrespected and demotivated. Then there are cases one member feels another is not qualified, or just a bully. This goes beyond forming and storming, this becomes a (team-wide) problem. In this session you will see you are not the only one experiencing these challenges. You will hear experiences on solving these kind of cases",What are some challenges team members might face when integrating into a new team?
public-static-void-main-🎶,0,"Why just type the words “public static void main”, when you can also sing them? This talk-slash-pop-quiz is about 15 songs that will work with “public static void main” as the lyrics, enabling you to fully enjoy writing main methods while impressing your colleagues with your musical creativity at the same time.","What is the main idea behind using songs with ""public static void main"" as lyrics?"
java's-concurrency-journey-continues!-exploring-structured-concurrency-and-scoped-values,0,"Java's concurrency journey has been a long and winding one. We departed from the 'classic threads' station and traveled through Runnables, ExecutorServices, CompletableFutures and ForkJoinPools, before finally arriving at 'virtual threads'. But does 'finally' mean that we've arrived at our final destination, or is it a transfer at best?Now that virtual threads are available, our Java programs will likely use an abundance of threads. This increase in thread count will immediately make thread coordination, observability and isolation more difficult. Two new Java features are currently in development that might make things a bit easier: Structured Concurrency and Scoped Values.In this talk, we'll introduce and demonstrate these new features, and how they can help address the challenges that have emerged since the introduction of virtual threads. We'll also discuss how the availability of these features will impact your day-to-day programming life and whether Java's concurrency journey is actually over now that these features have become available or if there are",What are the challenges posed by the increase in thread count with the introduction of virtual threads in Java?
optimizing-santa's-travels-with-timefold,0,"Every Christmas Eve, Santa faces a monumental challenge: delivering gifts to millions of children around the world in just one night. There’s no time for detours, and a well-crafted plan is essential!In this talk, we’ll help Santa find the optimal travel route for his journey using Timefold, an open-source AI solver. By setting up some basic domain classes, you'll be able to tackle vehicle routing problems without getting lost in the magic (aka math).Through a series of live demos, you'll see practical examples in action and leave with a powerful new tool in your problem-solving toolbox. So join in and let's use our favorite programming language to make sure everyone gets their presents under the Christmas tree!",How can Timefold assist in optimizing Santa's delivery route on Christmas Eve?
from-data-to-information:-my-insightful-journey,0,"By definition, data and information are distinct concepts. While we are generating vast amounts of data – predictions suggest that we will reach 175 zettabytes by 2025, with approximately 2.5 exabytes generated daily – only a small portion of this massive volume is truly valuable. Even more noteworthy is the information that cannot be found as raw data but can be derived from the combinations of existing data.In this talk, I will share my journey from first hearing about Neo4j at a conference to utilizing this powerful tool for extracting valuable insights from student data. Perspectives that were once hidden to the naked eye became clearly evident when analyzing larger datasets and using data visualization techniques.I am Elvira van der Ven, a lecturer at the Rotterdam University of Applied Sciences and a student counselor for the Computer Science program.","What is the difference between data and information, and why is only a small portion of data considered truly valuable?"
java-in-the-green-cloud:-eco-friendly-development-with-kubernetes,0,"Dive into the fun side of sustainable software with 'Java in the Green Cloud.' and discover how to craft eco-friendly Java applications optimized for Kubernetes ecosystems. We'll explore whimsical yet practical tips on resource management, efficient algorithms, and leveraging cloud-native tools to minimize your environmental footprint. Perfect for developers of all levels, this session promises lively examples, interactive discussions, and green-themed coding challenges. Join us for a tech adventure that’s both fun and planet-friendly, all while mastering cloud-native Java development",What is the focus of the 'Java in the Green Cloud' session?
"the-power-of-open-source,-how-pet-projects-help-your-daily-work",0,In this presentation we explore why you should contribute to Open-Source Software and the benefits you can gain from it.,What are some advantages of contributing to open-source software?
inside-out-java:-exploring-data-structures-with-jol-visualization,0,"Discover the intricacies of Java with the latest update to the OpenJDK/JOL tool, now featuring an object graph visualizer. As one of the key contributors to this enhancement, I'll demonstrate how we can now visually explore the internal workings of Java data structures—from Strings and HashMaps to Streams and Threads. This session will use JOL to trace the evolution of these structures from Java 6 to the modern Java 22, providing valuable insights into their internal mechanics. This deeper understanding can lead to more efficient and effective use of the Java standard library. Whether you're a seasoned Java developer or looking to expand your knowledge of Java internals, this talk promises to be both educational and practically useful.",What new feature does the latest update to the OpenJDK/JOL tool offer for exploring Java data structures?
